fname,matrix_size,num_nodes,avg_connect,num_components,processor,total,transfer,solve
rand_data/rand_size-003_density-002.csv,1,2,2,3,cuda,0.6432228000000001,0.23948899999999998,0.40373380000000003
rand_data/rand_size-003_density-002.csv,1,2,2,3,cpu,0.0007030999999999565,0.000248800000000049,0.00045429999999990756
rand_data/rand_size-004_density-002.csv,4,4,2,6,cuda,0.003000100000000061,0.0009121000000000823,0.0020879999999999788
rand_data/rand_size-004_density-002.csv,4,4,2,6,cpu,0.0010814000000000101,0.0002621999999999902,0.0008192000000000199
rand_data/rand_size-005_density-002.csv,7,5,2,8,cuda,0.0033792000000000266,0.0008822000000000552,0.0024969999999999715
rand_data/rand_size-005_density-002.csv,7,5,2,8,cpu,0.0020428000000000113,0.00042599999999992644,0.0016168000000000848
rand_data/rand_size-006_density-002.csv,9,8,2,14,cuda,0.002349900000000016,0.0006703000000000126,0.0016796000000000033
rand_data/rand_size-006_density-002.csv,9,8,2,14,cpu,0.0013673999999999076,0.0001926999999999346,0.001174699999999973
rand_data/rand_size-007_density-002.csv,15,11,2,18,cuda,0.0024594000000000005,0.0006831999999999949,0.0017762000000000056
rand_data/rand_size-007_density-002.csv,15,11,2,18,cpu,0.002685900000000019,0.00019410000000008587,0.002491799999999933
rand_data/rand_size-008_density-002.csv,22,16,2,29,cuda,0.002818199999999993,0.000741899999999962,0.002076300000000031
rand_data/rand_size-008_density-002.csv,22,16,2,29,cpu,0.0036504000000000536,0.00019360000000001598,0.0034568000000000376
rand_data/rand_size-009_density-002.csv,32,22,2,41,cuda,0.0031259000000000148,0.00080990000000003,0.0023159999999999847
rand_data/rand_size-009_density-002.csv,32,22,2,41,cpu,0.005082799999999943,0.00021369999999998335,0.00486909999999996
rand_data/rand_size-010_density-002.csv,50,32,2,60,cuda,0.003175600000000056,0.0007919000000000675,0.0023836999999999886
rand_data/rand_size-010_density-002.csv,50,32,2,60,cpu,0.0077080999999999955,0.00023819999999996622,0.007469900000000029
rand_data/rand_size-011_density-002.csv,69,45,2,87,cuda,0.0034591000000000482,0.0007785000000000153,0.002680600000000033
rand_data/rand_size-011_density-002.csv,69,45,2,87,cpu,0.011053100000000038,0.00022800000000000598,0.010825100000000032
rand_data/rand_size-012_density-002.csv,90,64,2,124,cuda,0.004090600000000055,0.000887500000000041,0.0032031000000000143
rand_data/rand_size-012_density-002.csv,90,64,2,124,cpu,0.014143499999999976,0.00028890000000003635,0.01385459999999994
rand_data/rand_size-013_density-002.csv,132,90,2,176,cuda,0.004487299999999972,0.0008232000000000239,0.003664099999999948
rand_data/rand_size-013_density-002.csv,132,90,2,176,cpu,0.02110410000000007,0.0002971000000000501,0.02080700000000002
rand_data/rand_size-014_density-002.csv,195,128,2,252,cuda,0.00646240000000009,0.0009436000000000444,0.005518800000000046
rand_data/rand_size-014_density-002.csv,195,128,2,252,cpu,0.03286959999999994,0.0003298000000000467,0.0325397999999999
rand_data/rand_size-015_density-002.csv,263,181,2,358,cuda,0.007909399999999955,0.0009436000000000444,0.006965799999999911
rand_data/rand_size-015_density-002.csv,263,181,2,358,cpu,0.043501299999999965,0.0005595999999998824,0.04294170000000008
rand_data/rand_size-016_density-002.csv,386,256,2,508,cuda,0.011569000000000162,0.0009535000000000515,0.010615500000000111
rand_data/rand_size-016_density-002.csv,386,256,2,508,cpu,0.06306680000000009,0.0004979000000000511,0.06256890000000004
rand_data/rand_size-017_density-002.csv,544,362,2,720,cuda,0.01462819999999998,0.0011107999999999674,0.013517400000000013
rand_data/rand_size-017_density-002.csv,544,362,2,720,cpu,0.09600300000000006,0.0006311999999999429,0.09537180000000012
rand_data/rand_size-018_density-002.csv,775,512,2,1020,cuda,0.02224259999999978,0.0011929999999997776,0.0210496
rand_data/rand_size-018_density-002.csv,775,512,2,1020,cpu,0.14623490000000006,0.0008287999999998519,0.1454061000000002
rand_data/rand_size-019_density-002.csv,1071,724,2,1444,cuda,0.037427200000000216,0.0013428000000001994,0.036084400000000016
rand_data/rand_size-019_density-002.csv,1071,724,2,1444,cpu,0.2143269000000001,0.0010348000000002244,0.21329209999999987
rand_data/rand_size-020_density-002.csv,1545,1024,2,2045,cuda,0.07108150000000002,0.0016194000000000486,0.06946209999999997
rand_data/rand_size-020_density-002.csv,1545,1024,2,2045,cpu,0.3478184999999998,0.0014646999999996524,0.34635380000000016
rand_data/rand_size-021_density-002.csv,2139,1448,2,2893,cuda,0.13654200000000039,0.0023190999999993522,0.13422290000000103
rand_data/rand_size-021_density-002.csv,2139,1448,2,2893,cpu,0.5718607000000002,0.001818100000001266,0.570042599999999
rand_data/rand_size-022_density-002.csv,3087,2048,2,4093,cuda,0.2875942000000009,0.002433899999999767,0.28516030000000114
rand_data/rand_size-022_density-002.csv,3087,2048,2,4093,cpu,0.943511899999999,0.0031015999999990385,0.9404102999999999
rand_data/rand_size-023_density-002.csv,4393,2896,2,5788,cuda,0.6648487000000003,0.00333299999999781,0.6615157000000025
rand_data/rand_size-023_density-002.csv,4393,2896,2,5788,cpu,1.6513516000000017,0.0036550000000019622,1.6476965999999997
rand_data/rand_size-024_density-002.csv,6128,4096,2,8189,cuda,1.3487685999999997,0.004406599999995819,1.3443620000000038
rand_data/rand_size-024_density-002.csv,6128,4096,2,8189,cpu,2.8810530000000014,0.006618099999997185,2.8744349000000042
rand_data/rand_size-003_density-003.csv,3,2,3,5,cuda,0.0021713999999946054,0.0006759999999985666,0.0014953999999960388
rand_data/rand_size-003_density-003.csv,3,2,3,5,cpu,0.0007525999999984379,0.00018820000000374648,0.0005643999999946914
rand_data/rand_size-004_density-003.csv,4,4,3,10,cuda,0.0021806000000026415,0.0007854000000051542,0.0013951999999974873
rand_data/rand_size-004_density-003.csv,4,4,3,10,cpu,0.0007353999999963889,0.00019590000000135888,0.0005394999999950301
rand_data/rand_size-005_density-003.csv,7,5,3,13,cuda,0.0021461000000044805,0.0006212000000047624,0.0015248999999997181
rand_data/rand_size-005_density-003.csv,7,5,3,13,cpu,0.0009408000000021843,0.00018409999999846605,0.0007567000000037183
rand_data/rand_size-006_density-003.csv,12,8,3,21,cuda,0.002501000000002307,0.0006867000000028156,0.0018142999999994913
rand_data/rand_size-006_density-003.csv,12,8,3,21,cpu,0.0021890000000013288,0.00018740000000150303,0.0020015999999998257
rand_data/rand_size-007_density-003.csv,15,11,3,30,cuda,0.0025546999999974673,0.0007068000000032271,0.0018478999999942403
rand_data/rand_size-007_density-003.csv,15,11,3,30,cpu,0.0026401000000007002,0.00020710000000434547,0.0024329999999963547
rand_data/rand_size-008_density-003.csv,25,16,3,45,cuda,0.0027204999999952406,0.0008420999999998457,0.0018783999999953949
rand_data/rand_size-008_density-003.csv,25,16,3,45,cpu,0.00403169999999875,0.00020320000000140226,0.003828499999997348
rand_data/rand_size-009_density-003.csv,33,22,3,61,cuda,0.0036495000000016375,0.0010339000000030296,0.002615599999998608
rand_data/rand_size-009_density-003.csv,33,22,3,61,cpu,0.00614190000000292,0.00022620000000017626,0.005915700000002744
rand_data/rand_size-010_density-003.csv,59,32,3,91,cuda,0.0036094000000019832,0.0011431000000001745,0.0024663000000018087
